=== register: 100301|44f0 ===
[2604] 0100|00|00|05|fa0001||100301|44f0||...D.||259,61508

=== register: 100301|54e0 ===
[2327] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2350] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2373] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2392] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2412] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2430] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2451] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2472] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2513] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2532] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2553] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2571] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2589] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2612] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[2634] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932

=== register: 101800|dc3a ===
[231] 0100|00|00|05|fa0003||101800|dc3a||....:||24,15068
[505] 0100|00|00|05|fa0003||101800|dc3a||....:||24,15068
[775] 0100|00|00|05|fa0003||101800|dc3a||....:||24,15068
[1051] 0100|00|00|05|fa0003||101800|dc3a||....:||24,15068
[1381] 0100|00|00|05|fa0003||101800|dc3a||....:||24,15068
[1657] 0100|00|00|05|fa0003||101800|dc3a||....:||24,15068
[1932] 0100|00|00|05|fa0003||101800|dc3a||....:||24,15068
[2205] 0100|00|00|05|fa0003||101800|dc3a||....:||24,15068
[2478] 0100|00|00|05|fa0003||101800|dc3a||....:||24,15068

=== register: 141481|b801 ===
[643] 0100|00|00|05|fa0001||141481|b801||.....||33044,440

=== register: 142101|00000000000061f7 ===
[405] 0100|01|00|0b|f301fe||142101|00000000000061f7||.!.......a.||0,63329

=== register: 1f8103|3621 ===
[230] 0100|00|00|05|fa0001||1f8103|3621||...6!||897,8502
[503] 0100|00|00|05|fa0001||1f8103|3621||...6!||897,8502
[774] 0100|00|00|05|fa0001||1f8103|3621||...6!||897,8502
[1050] 0100|00|00|05|fa0001||1f8103|3621||...6!||897,8502
[1380] 0100|00|00|05|fa0001||1f8103|3621||...6!||897,8502
[1655] 0100|00|00|05|fa0001||1f8103|3621||...6!||897,8502
[1931] 0100|00|00|05|fa0001||1f8103|3621||...6!||897,8502
[2204] 0100|00|00|05|fa0001||1f8103|3621||...6!||897,8502
[2475] 0100|00|00|05|fa0001||1f8103|3621||...6!||897,8502

=== register: 1f8500|f763 ===
[228] 0100|00|00|05|fa0001||1f8500|f763||....c||133,25591
[500] 0100|00|00|05|fa0001||1f8500|f763||....c||133,25591
[772] 0100|00|00|05|fa0001||1f8500|f763||....c||133,25591
[1048] 0100|00|00|05|fa0001||1f8500|f763||....c||133,25591
[1378] 0100|00|00|05|fa0001||1f8500|f763||....c||133,25591
[1653] 0100|00|00|05|fa0001||1f8500|f763||....c||133,25591
[1929] 0100|00|00|05|fa0001||1f8500|f763||....c||133,25591
[2202] 0100|00|00|05|fa0001||1f8500|f763||....c||133,25591
[2471] 0100|00|00|05|fa0001||1f8500|f763||....c||133,25591

=== register: 1f8600|0763 ===
[1206] 0100|00|00|05|fa0001||1f8600|0763||....c||134,25351

=== register: 1f8603|0623 ===
[1207] 0100|00|00|05|fa0001||1f8603|0623||....#||902,8966

=== register: 1f8800|6767 ===
[1208] 0100|00|00|05|fa0001||1f8800|6767||...gg||136,26471

=== register: 1f8803|6627 ===
[1209] 0100|00|00|05|fa0001||1f8803|6627||...f'||904,10086

=== register: 20 ===
[258] 0100|00|00|01|fa0001||20||| ||--,--

=== register: 200006|69b1 ===
[1286] 0100|00|00|05|fa0001||200006|69b1|| ..i.||1536,45417

=== register: 200007|a970 ===
[1288] 0100|00|00|05|fa0001||200007|a970|| ...p||1792,28841

=== register: 200008|ad30 ===
[1292] 0100|00|00|05|fa0001||200008|ad30|| ...0||2048,12461

=== register: 200102|3ab1 ===
[229] 0100|00|00|05|fa0001||200102|3ab1|| ..:.||513,45370
[501] 0100|00|00|05|fa0001||200102|3ab1|| ..:.||513,45370
[773] 0100|00|00|05|fa0001||200102|3ab1|| ..:.||513,45370
[1049] 0100|00|00|05|fa0001||200102|3ab1|| ..:.||513,45370
[1203] 0100|00|00|05|fa0001||200102|3ab1|| ..:.||513,45370
[1379] 0100|00|00|05|fa0001||200102|3ab1|| ..:.||513,45370
[1654] 0100|00|00|05|fa0001||200102|3ab1|| ..:.||513,45370
[1930] 0100|00|00|05|fa0001||200102|3ab1|| ..:.||513,45370
[2203] 0100|00|00|05|fa0001||200102|3ab1|| ..:.||513,45370
[2473] 0100|00|00|05|fa0001||200102|3ab1|| ..:.||513,45370

=== register: 200103|4271 ===
[1231] 0100|00|00|05|fa0003||200103|4271|| ..Bq||769,28994

=== register: 200103|fa70 ===
[1221] 0100|00|00|05|fa0001||200103|fa70|| ...p||769,28922

=== register: 200104|3831 ===
[1222] 0100|00|00|05|fa0001||200104|3831|| ..81||1025,12600

=== register: 200104|8030 ===
[1232] 0100|00|00|05|fa0003||200104|8030|| ...0||1025,12416

=== register: 20010a|fcb0 ===
[529] 0100|00|00|05|fa0001||20010a|fcb0|| ....||2561,45308
[1205] 0100|00|00|05|fa0001||20010a|fcb0|| ....||2561,45308
[1682] 0100|00|00|05|fa0001||20010a|fcb0|| ....||2561,45308
[2230] 0100|00|00|05|fa0001||20010a|fcb0|| ....||2561,45308
[2500] 0100|00|00|05|fa0001||20010a|fcb0|| ....||2561,45308

=== register: 20010b|3c71 ===
[1223] 0100|00|00|05|fa0001||20010b|3c71|| ..<q||2817,28988

=== register: 20010b|8470 ===
[1234] 0100|00|00|05|fa0003||20010b|8470|| ...p||2817,28804

=== register: 20010e|3fb1 ===
[1224] 0100|00|00|05|fa0001||20010e|3fb1|| ..?.||3585,45375

=== register: 20010e|87b0 ===
[1236] 0100|00|00|05|fa0003||20010e|87b0|| ....||3585,45191

=== register: 20010f|4771 ===
[1239] 0100|00|00|05|fa0003||20010f|4771|| ..Gq||3841,28999

=== register: 20010f|ff70 ===
[1225] 0100|00|00|05|fa0001||20010f|ff70|| ...p||3841,28927

=== register: 200201|000000000000644a ===
[279] 0100|01|00|0b|f301fe||200201|000000000000644a|| ........dJ||0,19044

=== register: 200201|0000000000006c4a ===
[11] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
[23] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
[42] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
[63] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
[82] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
[105] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
[124] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
[145] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
[163] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
[184] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
[207] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
[220] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
[257] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
[298] 0100|01|00|0b|f301fe||200201|0000000000006c4a|| ........lJ||0,19052
